Code;Actie;Actie oms.;BI;Beleidsitem oms.;AR;IE;Eerste omschrijving;U;2014;2015;2016;2017;2018;2019;;geen aanpassing;;;;;;;;
BP2014_2019-0/GBB-CBS/0020-00/6479999/BESTUUR/CBS/100/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0020-00;Fiscale aangelegenheden;6479999;IE-GEEN;Overige diverse operationele kosten;U;€ 43,118.42;€ 42,675.14;€ 41,914.12;€ 43,171.54;€ 44,466.69;€ 45,800.69;;naar boven;;;;;;;;
BP2014_2019-0/GBB-CBS/0030-00/6400001/BESTUUR/CBS/100/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0030-00;Financiële aangelegenheden;6400001;IE-GEEN;Roerende voorheffing op bankinteresten;U;€ 4,125.00;€ 4,125.00;€ 4,125.00;€ 4,125.00;€ 4,125.00;€ 4,125.00;;naar beneden;;;;;;;;
BP2014_2019-0/GBB-CBS/0030-00/6570001/BESTUUR/CBS/700/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0030-00;Financiële aangelegenheden;6570001;IE-GEEN;Debetintresten bankrekeningen;U;€ 100.00;€ 100.00;€ 100.00;€ 100.00;€ 100.00;€ 100.00;;te bespreken;;;;;;;;
BP2014_2019-0/GBB-CBS/0040-00/6500000/BESTUUR/CBS/700/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0040-00;Transacties in verband met de openbare schuld;6500000;IE-GEEN;Intresten op leningen;U;€ 344,119.60;€ 460,541.82;€ 440,756.21;€ 465,133.21;€ 508,450.19;€ 488,999.78;;;;;;;;;;
BP2014_2019-0/GBB-CBS/0040-00/6500100/BESTUUR/CBS/700/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0040-00;Transacties in verband met de openbare schuld;6500100;IE-GEEN;FinanciÃ«le kosten leasingschulden;U;€ 0.00;€ 0.00;€ 0.00;€ 0.00;€ 0.00;€ 0.00;;;;;;;;;;
BP2014_2019-0/GBB-CBS/0040-00/6500200/BESTUUR/CBS/700/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0040-00;Transacties in verband met de openbare schuld;6500200;IE-GEEN;Intresten op leningen;U;€ 37,887.44;€ 34,840.21;€ 31,792.98;€ 28,745.76;€ 25,698.52;€ 22,651.29;;;;;;;;;;
BP2014_2019-0/GBB-CBS/0050-00/6100999/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0050-00;Patrimonium zonder maatschappelijk doel;6100999;IE-GEEN;Andere huur en huurlasten van onroerende goederen;U;€ 827.24;€ 632.77;€ 632.77;€ 632.77;€ 632.77;€ 632.77;;;;;;;;;;
BP2014_2019-0/GBB-CBS/0050-00/6103001/BESTUUR/CBS/600/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0050-00;Patrimonium zonder maatschappelijk doel;6103001;IE-GEEN;Benodigdheden voor gebouwen;U;€ 1,000.00;€ 1,000.00;€ 1,000.00;€ 1,000.00;€ 1,000.00;€ 1,000.00;;ok;;;;;;;;
BP2014_2019-0/GBB-CBS/0050-00/6103010/BESTUUR/CBS/600/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0050-00;Patrimonium zonder maatschappelijk doel;6103010;IE-GEEN;Prestaties van derden voor onderhoud en herstelling gebouwen;U;€ 5,500.00;€ 3,500.00;€ 3,500.00;€ 3,500.00;€ 3,500.00;€ 3,500.00;;ok;;;;;;;;
BP2014_2019-0/GBB-CBS/0050-00/6120100/BESTUUR/CBS/700/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0050-00;Patrimonium zonder maatschappelijk doel;6120100;IE-GEEN;Brandverzekering - verhuurde gebouwen;U;€ 24,550.00;€ 18,881.00;€ 17,218.62;€ 17,562.99;€ 17,914.25;€ 18,272.54;;;;;;;;;;
